"area_slug";"cam";"serial"
"125";"cam2";"DS-I21420180616AAWR216884136";
"115";"cam1";"DS-I21420180412AAWR204373333";
"115";"cam2";"DS-I21420180616AAWR216884408";
"54";"cam1";"DS-I21420180616AAWR216884676";
"89";"cam2";"DS-I21420180616AAWR216884142";
"89";"cam1";"DS-I21420180616AAWR216884692";
"54";"cam2";"DS-I21420180616AAWR216884666";
"105";"cam2";"DS-I21420180616AAWR216884669";
"95";"cam2";"DS-I21420180616AAWR216884406";
"72";"cam1";"DS-I21420180616AAWR216884087";
"72";"cam2";"DS-I21420180616AAWR216884655"
